,Kód obce,Název obce,Název MOMC,Název části obce,Název ulice,Souřadnice Y,Souřadnice X,latitude,longitude
23,554782,Praha,Praha 1,Hradčany,Radnické schody,744585.0185714286,1042623.9985714286,50.088750223624864,14.395933854940129
24,554782,Praha,Praha 1,Hradčany,Staré zámecké schody,743840.16,1042371.39,50.09191497359541,14.40576370516897
25,554782,Praha,Praha 1,Hradčany,Strahovská,744938.2888888889,1043127.2466666667,50.083833749941284,14.392004777296286
26,554782,Praha,Praha 1,Hradčany,Strahovské nádvoří,745132.2408333333,1042803.9333333332,50.086474964744745,14.388702227028276
27,554782,Praha,Praha 1,Hradčany,U Brusnice,744733.075,1042248.7749999999,50.091910308350094,14.393167410807509
28,554782,Praha,Praha 1,Hradčany,U Prašného mostu,744332.5214285714,1042220.4142857144,50.09265508553873,14.398658815108318
29,554782,Praha,Praha 1,Hradčany,U kasáren,744714.2875,1042512.395,50.08958539964612,14.39393111123287
30,554782,Praha,Praha 1,Hradčany,Vikářská,744229.96,1042403.4,50.09115123559332,14.400428121220454
31,554782,Praha,Praha 1,Hradčany,Vlašská,744843.02,1042955.84,50.085477525479014,14.392996100499326
32,554782,Praha,Praha 1,Hradčany,Zlatá ulička u Daliborky,743973.8611111111,1042351.7340740741,50.09192590614398,14.40387511863634
33,554782,Praha,Praha 1,Hradčany,none,744366.345,1042256.27,50.09229417475216,14.398258997625678
34,554782,Praha,Praha 1,Hradčany,náměstí U svatého Jiří,744117.368,1042402.8759999999,50.09129417765149,14.401985912016892
35,554782,Praha,Praha 1,Hradčany,zahrada Na baště,744439.8,1042425.03,50.090700819660356,14.397564299033446
36,554782,Praha,Praha 1,Hradčany,Úvoz,744730.9925,1042667.4729166668,50.088183627059,14.393996078257876
37,554782,Praha,Praha 1,Hradčany,Černínská,744980.9916666667,1042331.7616666667,50.090866415906596,14.389893717961352
38,554782,Praha,Praha 1,Josefov,17. listopadu,743051.9533333333,1042609.02,50.090765432616635,14.417129511582106
39,554782,Praha,Praha 1,Josefov,Bílkova,742882.11,1042625.3175,50.090828507815964,14.41951203605662
40,554782,Praha,Praha 1,Josefov,Břehová,743018.4828571428,1042613.5971428572,50.090765704263326,14.417601629865416
41,554782,Praha,Praha 1,Josefov,Dušní,742819.5466666667,1042667.4816666666,50.090529638312844,14.42045856138803
42,554782,Praha,Praha 1,Josefov,Elišky Krásnohorské,742872.5572727273,1042678.4663636364,50.090366812129815,14.419745567601414
43,554782,Praha,Praha 1,Josefov,Jáchymova,742942.34,1042867.07,50.08860133659046,14.419138838854709
44,554782,Praha,Praha 1,Josefov,Kaprova,743061.1857142857,1042878.8328571429,50.08835084984598,14.417515925994923
45,554782,Praha,Praha 1,Josefov,Maiselova,742984.12,1042802.5576470589,50.08912473619976,14.418437487391001
46,554782,Praha,Praha 1,Josefov,Pařížská,742935.085,1042700.51375,50.09009377640413,14.41892189765504
47,554782,Praha,Praha 1,Josefov,U Svatého ducha,742842.73,1042694.76,50.09025824612723,14.420189566882188
48,554782,Praha,Praha 1,Josefov,U staré školy,742782.985,1042679.9650000001,50.09046326345892,14.420988537809972
49,554782,Praha,Praha 1,Josefov,U starého hřbitova,743023.175,1042688.18375,50.090095597035706,14.41767881984371
50,554782,Praha,Praha 1,Josefov,Valentinská,743101.11,1042824.6575,50.088784442223115,14.416859953357418
51,554782,Praha,Praha 1,Josefov,Vězeňská,742785.1,1042708.02,50.09021077942036,14.421012707346424
52,554782,Praha,Praha 1,Josefov,náměstí Jana Palacha,743169.29,1042794.09,50.08897310157358,14.415857785649255
53,554782,Praha,Praha 1,Josefov,Červená,742958.1866666666,1042715.7233333333,50.08992997911122,14.418631046029875
54,554782,Praha,Praha 1,Josefov,Široká,743003.308125,1042785.415,50.08925390246691,14.418139169819577
55,554782,Praha,Praha 1,Josefov,Žatecká,743043.16,1042850.9485714285,50.08862132170123,14.417712336498772
56,554782,Praha,Praha 1,Malá Strana,Besední,743975.182,1043445.442,50.08218268555843,14.405943718677406
57,554782,Praha,Praha 1,Malá Strana,Břetislavova,744320.0194117647,1042798.5452941176,50.08752111582992,14.399935687132547
58,554782,Praha,Praha 1,Malá Strana,Chotkova,743598.58,1042290.51,50.09293187861128,14.408954098186213
59,554782,Praha,Praha 1,Malá Strana,Cihelná,743592.7128571429,1042811.4685714286,50.088298892354075,14.410028990293155
